signal_id,observed_at,source_id,signal_type,value,confidence,player_id,team_id,fixture_id,gameweek,valid_from,expires_at,status,source_url,note
odds-api-match_win_probability-f5086c74d4a767e3ad7ea69bd4a66b76-2-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.325622,1.0,,2,7,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-f5086c74d4a767e3ad7ea69bd4a66b76-5-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.811807,1.0,,5,7,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-f5086c74d4a767e3ad7ea69bd4a66b76-2-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.767204,1.0,,2,7,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-f5086c74d4a767e3ad7ea69bd4a66b76-5-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.232796,1.0,,5,7,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-f5086c74d4a767e3ad7ea69bd4a66b76-2-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.188193,1.0,,2,7,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-f5086c74d4a767e3ad7ea69bd4a66b76-5-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.670288,1.0,,5,7,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-f5086c74d4a767e3ad7ea69bd4a66b76-2-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.457592,1.0,,2,7,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-87c7c9bfd5e3072bded20c702f553c63-15-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.66188,1.0,,15,8,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-87c7c9bfd5e3072bded20c702f553c63-3-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.151494,1.0,,3,8,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-87c7c9bfd5e3072bded20c702f553c63-15-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.913754,1.0,,15,8,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-87c7c9bfd5e3072bded20c702f553c63-3-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.677653,1.0,,3,8,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-87c7c9bfd5e3072bded20c702f553c63-15-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.322347,1.0,,15,8,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-87c7c9bfd5e3072bded20c702f553c63-3-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.086246,1.0,,3,8,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-87c7c9bfd5e3072bded20c702f553c63-15-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,2.450554,1.0,,15,8,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-87c7c9bfd5e3072bded20c702f553c63-3-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.132127,1.0,,3,8,1,2026-07-23T14:37:19+00:00,2026-08-23T17:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-ea0bacc4c23f813c6af97ec9b306a850-17-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.335427,1.0,,17,9,1,2026-07-23T14:37:19+00:00,2026-08-23T19:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-ea0bacc4c23f813c6af97ec9b306a850-14-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.41954,1.0,,14,9,1,2026-07-23T14:37:19+00:00,2026-08-23T19:30:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
